time,pressure
0:00:00,1006.678
0:00:01,1006.674
0:00:02,1006.672
0:00:03,1006.667
0:00:04,1006.676
0:00:05,1006.683
0:00:06,1006.674
0:00:07,1006.676
0:00:08,1006.68
0:00:09,1006.678
0:00:10,1006.674
0:00:11,1006.678
0:00:12,1006.671
0:00:13,1006.678
0:00:14,1006.676
0:00:15,1006.687
0:00:16,1006.682
0:00:17,1006.676
0:00:18,1006.68
0:00:19,1006.677
0:00:20,1006.678
0:00:21,1006.68
0:00:22,1006.685
0:00:23,1006.687
0:00:24,1006.678
0:00:25,1006.68
0:00:26,1006.685
0:00:27,1006.685
0:00:28,1006.685
0:00:29,1006.682
0:00:30,1006.68
0:00:31,1006.699
0:00:32,1006.69
0:00:33,1006.685
0:00:34,1006.682
0:00:35,1006.692
0:00:36,1006.687
0:00:37,1006.687
0:00:38,1006.688
0:00:39,1006.685
0:00:40,1006.697
0:00:41,1006.689
0:00:42,1006.69
0:00:43,1006.685
0:00:44,1006.687
0:00:45,1006.685
0:00:46,1006.682
0:00:47,1006.697
0:00:48,1006.685
0:00:49,1006.691
0:00:50,1006.697
0:00:51,1006.692
0:00:52,1006.689
0:00:53,1006.689
0:00:54,1006.69
0:00:55,1006.689
0:00:56,1006.694
0:00:57,1006.685
0:00:58,1006.685
0:00:59,1006.692
0:01:00,1006.692
0:01:01,1006.692
0:01:02,1006.688
0:01:03,1006.68
0:01:04,1006.688
0:01:05,1006.682
0:01:06,1006.685
0:01:07,1006.692
0:01:08,1006.688
0:01:09,1006.685
0:01:10,1006.692
0:01:11,1006.688
0:01:12,1006.68
0:01:13,1006.682
0:01:14,1006.692
0:01:15,1006.697
0:01:16,1006.685
0:01:17,1006.69
0:01:18,1006.68
0:01:19,1006.65
0:01:20,1006.697
0:01:21,1006.701
0:01:22,1006.688
0:01:23,1006.71
0:01:24,1006.688
0:01:25,1006.685
0:01:26,1006.685
0:01:27,1006.69
0:01:28,1006.68
0:01:29,1006.68
0:01:30,1006.692
0:01:31,1006.673
0:01:32,1006.685
0:01:33,1006.685
0:01:34,1006.685
0:01:35,1006.692
0:01:36,1006.688
0:01:37,1006.688
0:01:38,1006.688
0:01:39,1006.685
0:01:40,1006.689
0:01:41,1006.711
0:01:42,1006.688
0:01:43,1006.689
0:01:44,1006.694
0:01:45,1006.701
0:01:46,1006.688
0:01:47,1006.685
0:01:48,1006.697
0:01:49,1006.694
0:01:50,1006.692
0:01:51,1006.668
0:01:52,1006.68
0:01:53,1006.682
0:01:54,1006.68
0:01:55,1006.688
0:01:56,1006.688
0:01:57,1006.685
0:01:58,1006.679
0:01:59,1006.678
0:02:00,1006.68
0:02:01,1006.673
0:02:02,1006.683
0:02:03,1006.687
0:02:04,1006.678
0:02:05,1006.671
0:02:06,1006.669
0:02:07,1006.667
0:02:08,1006.667
0:02:09,1006.669
0:02:10,1006.671
0:02:11,1006.667
0:02:12,1006.666
0:02:13,1006.669
0:02:14,1006.667
0:02:15,1006.671
0:02:16,1006.666
0:02:17,1006.667
0:02:18,1006.676
0:02:19,1006.671
0:02:20,1006.671
0:02:21,1006.671
0:02:22,1006.671
0:02:23,1006.667
0:02:24,1006.666
0:02:25,1006.664
0:02:26,1006.671
0:02:27,1006.667
0:02:28,1006.678
0:02:29,1006.671
0:02:30,1006.664
0:02:31,1006.669
0:02:32,1006.659
0:02:33,1006.669
0:02:34,1006.669
0:02:35,1006.652
0:02:36,1006.666
0:02:37,1006.655
0:02:38,1006.669
0:02:39,1006.662
0:02:40,1006.664
0:02:41,1006.655
0:02:42,1006.65
0:02:43,1006.653
0:02:44,1006.655
0:02:45,1006.662
0:02:46,1006.653
0:02:47,1006.643
0:02:48,1006.65
0:02:49,1006.647
0:02:50,1006.647
0:02:51,1006.655
0:02:52,1006.655
0:02:53,1006.659
0:02:54,1006.65
0:02:55,1006.659
0:02:56,1006.655
0:02:57,1006.657
0:02:58,1006.647
0:02:59,1006.65
0:03:00,1006.655
0:03:01,1006.652
0:03:02,1006.65
0:03:03,1006.65
0:03:04,1006.655
0:03:05,1006.65
0:03:06,1006.657
0:03:07,1006.653
0:03:08,1006.657
0:03:09,1006.65
0:03:10,1006.655
0:03:11,1006.657
0:03:12,1006.659
0:03:13,1006.647
0:03:14,1006.655
0:03:15,1006.655
0:03:16,1006.65
0:03:17,1006.659
0:03:18,1006.657
0:03:19,1006.65
0:03:20,1006.65
0:03:21,1006.655
0:03:22,1006.648
0:03:23,1006.65
0:03:24,1006.643
0:03:25,1006.645
0:03:26,1006.647
0:03:27,1006.645
0:03:28,1006.641
0:03:29,1006.637
0:03:30,1006.645
0:03:31,1006.634
0:03:32,1006.643
0:03:33,1006.643
0:03:34,1006.638
0:03:35,1006.647
0:03:36,1006.641
0:03:37,1006.641
0:03:38,1006.65
0:03:39,1006.638
0:03:40,1006.645
0:03:41,1006.634
0:03:42,1006.647
0:03:43,1006.65
0:03:44,1006.634
0:03:45,1006.641
0:03:46,1006.643
0:03:47,1006.645
0:03:48,1006.638
0:03:49,1006.634
0:03:50,1006.636
0:03:51,1006.636
0:03:52,1006.638
0:03:53,1006.641
0:03:54,1006.641
0:03:55,1006.632
0:03:56,1006.634
0:03:57,1006.643
0:03:58,1006.634
0:03:59,1006.632
0:04:00,1006.634
0:04:01,1006.634
0:04:02,1006.641
0:04:03,1006.636
0:04:04,1006.632
0:04:05,1006.64
0:04:06,1006.63
0:04:07,1006.641
0:04:08,1006.641
0:04:09,1006.629
0:04:10,1006.632
0:04:11,1006.626
0:04:12,1006.624
0:04:13,1006.632
0:04:14,1006.632
0:04:15,1006.632
0:04:16,1006.632
0:04:17,1006.624
0:04:18,1006.629
0:04:19,1006.622
0:04:20,1006.629
0:04:21,1006.622
0:04:22,1006.624
0:04:23,1006.623
0:04:24,1006.624
0:04:25,1006.632
0:04:26,1006.629
0:04:27,1006.617
0:04:28,1006.617
0:04:29,1006.622
0:04:30,1006.629
0:04:31,1006.624
0:04:32,1006.62
0:04:33,1006.626
0:04:34,1006.623
0:04:35,1006.624
0:04:36,1006.629
0:04:37,1006.629
0:04:38,1006.629
0:04:39,1006.629
0:04:40,1006.62
0:04:41,1006.613
0:04:42,1006.624
0:04:43,1006.62
0:04:44,1006.618
0:04:45,1006.624
0:04:46,1006.629
0:04:47,1006.62
0:04:48,1006.632
0:04:49,1006.624
0:04:50,1006.608
0:04:51,1006.627
0:04:52,1006.624
0:04:53,1006.622
0:04:54,1006.629
0:04:55,1006.624
0:04:56,1006.613
0:04:57,1006.622
0:04:58,1006.62
0:04:59,1006.617
0:05:00,1006.613
0:05:01,1006.617
0:05:02,1006.615
0:05:03,1006.622
0:05:04,1006.615
0:05:05,1006.622
0:05:06,1006.613
0:05:07,1006.624
0:05:08,1006.613
0:05:09,1006.617
0:05:10,1006.623
0:05:11,1006.615
0:05:12,1006.62
0:05:13,1006.613
0:05:14,1006.615
0:05:15,1006.615
0:05:16,1006.617
0:05:17,1006.617
0:05:18,1006.616
0:05:19,1006.617
0:05:20,1006.605
0:05:21,1006.608
0:05:22,1006.607
0:05:23,1006.62
0:05:24,1006.61
0:05:25,1006.615
0:05:26,1006.615
0:05:27,1006.622
0:05:28,1006.617
0:05:29,1006.613
0:05:30,1006.615
0:05:31,1006.617
0:05:32,1006.612
0:05:33,1006.615
0:05:34,1006.612
0:05:35,1006.608
0:05:36,1006.615
0:05:37,1006.608
0:05:38,1006.615
0:05:39,1006.608
0:05:40,1006.612
0:05:41,1006.608
0:05:42,1006.612
0:05:43,1006.603
0:05:44,1006.608
0:05:45,1006.606
0:05:46,1006.601
0:05:47,1006.601
0:05:48,1006.605
0:05:49,1006.603
0:05:50,1006.612
0:05:51,1006.611
0:05:52,1006.615
0:05:53,1006.603
0:05:54,1006.615
0:05:55,1006.617
0:05:56,1006.615
0:05:57,1006.608
0:05:58,1006.601
0:05:59,1006.618
0:06:00,1006.603
0:06:01,1006.603
0:06:02,1006.613
0:06:03,1006.611
0:06:04,1006.613
0:06:05,1006.613
0:06:06,1006.613
0:06:07,1006.612
0:06:08,1006.611
0:06:09,1006.613
0:06:10,1006.613
0:06:11,1006.613
0:06:12,1006.618
0:06:13,1006.607
0:06:14,1006.618
0:06:15,1006.601
0:06:16,1006.603
0:06:17,1006.605
0:06:18,1006.61
0:06:19,1006.612
0:06:20,1006.608
0:06:21,1006.608
0:06:22,1006.603
0:06:23,1006.617
0:06:24,1006.613
0:06:25,1006.608
0:06:26,1006.62
0:06:27,1006.61
0:06:28,1006.62
0:06:29,1006.611
0:06:30,1006.617
0:06:31,1006.615
0:06:32,1006.613
0:06:33,1006.606
0:06:34,1006.612
0:06:35,1006.62
0:06:36,1006.603
0:06:37,1006.613
0:06:38,1006.612
0:06:39,1006.615
0:06:40,1006.615
0:06:41,1006.605
0:06:42,1006.608
0:06:43,1006.606
0:06:44,1006.608
0:06:45,1006.598
0:06:46,1006.601
0:06:47,1006.596
0:06:48,1006.599
0:06:49,1006.606
0:06:50,1006.608
0:06:51,1006.602
0:06:52,1006.605
0:06:53,1006.605
0:06:54,1006.599
0:06:55,1006.606
0:06:56,1006.615
0:06:57,1006.611
0:06:58,1006.601
0:06:59,1006.606
0:07:00,1006.606
0:07:01,1006.603
0:07:02,1006.606
0:07:03,1006.601
0:07:04,1006.611
0:07:05,1006.611
0:07:06,1006.596
0:07:07,1006.599
0:07:08,1006.599
0:07:09,1006.599
0:07:10,1006.608
0:07:11,1006.608
0:07:12,1006.603
0:07:13,1006.599
0:07:14,1006.601
0:07:15,1006.603
0:07:16,1006.611
0:07:17,1006.599
0:07:18,1006.605
0:07:19,1006.601
0:07:20,1006.602
0:07:21,1006.599
0:07:22,1006.605
0:07:23,1006.612
